img,title,board,save,crc
047,Pro Mahjong Kiwame,PTE-0037,S,90F7E6D6
048,Densha de Go! 2,PTE-0012A,-,AF9D8F42
049,Engacho!,PTE-0012A,E,4E467626
050,Wonder Stadium'99,PTE-0037,S,E252919D
051,Magical Drop,PTE-0012A,-,637ADA93
052,Harobots,PTE-0037,S,AA525C04
053,Shogi Toryumon,PTE-0037,S,3AD194EB
054,Mingle Magnet,PTE-0032B,-,9BAAC7BB
055,Rockman & Forte Mirai kara no Chōsensha,PTE-0037,S,CD206A9E
056,Turntablist - DJ Battle,PTE-0032B,E,0D5171F0
057,KEIBA,PTE-0037,S,ECFBCB1D
058,Kiss Yori... - Seaside Serenade,PTE-0037,S,3B4C60C6
059,Mystery King Pocket,PTE-0032B,E,4ED8820C
060,Armored Unit,PTE-0037,S,04366D92
061,Cardcaptor Sakura Sakura and the Mysterious Clow Card,PTE-0037,S,2097152
062,buffers evolution,PTE-0032B,E,B25A0635
063,Side pocket,PTE-0032B,-,8655269E
064,KAPPA GAMES Super Legendary Card Battle Yomu Makai Hideyuki Kikuchi,PTE-0037,S,56E2C069
065,CLOCK TOWER,PTE-0037,S,4E8909D1
066,digimon adventure anode tamer,PTE-0037,S,FC6946F0
067,digimon adventure cathode tamer,PTE-0037A,S,42AD238B
068,Tare Panda's Gunpei,PTE-0032B,E,A5643AA3
069,Fever - Sankyo Koushiki Pachinko Simulation,PTE-0032B,E,8922DD0B
070,Morita Shogi,PTE-0037,S,D675C265
071,Graduation,PTE-0037,S,F016DFE1
072,Tetsujin 28-go,PTE-0032B,E,6F304DCA
073,D's Garage21 Koubo Game - Tane o Maku Tori,PTE-0032B,E,B1CAEC06
074,Dad's drawing logic,PTE-0032B,E,631BD97A
075,hamster everywhere,PTE-0037,S,89E7D950
076,Bakusou Dekotora Densetsu,PTE-0037,S,392DD813
077,SD Gundam Gashapon Senki Episode One,PTE-0037,S,21EB4C59
078,SD Gundam Gashapon Senki Episode One,PTE-0037,S,2EC1E9C8
079,hallobots,PTE-0037,S,F75CE82C
080,Gomoku &amp; Reversi Toryumon,PTE-0037,S,A9F11523
081,Let's play hanafuda,PTE-0037,S,4B22270D
082,Uzumaki TV Mystery Edition,PTE-0032B,E,812020EF
083,Super big brother man's soul card,PTE-0037,S,7FFF2520
084,Game Go Heisei Kiin,PTE-0018,S,50B7A742
085,Tanjou Debut,PTE-0037,S,8B74F59A
086,Fishing Freaks - Bass Rise,PTE-0037,S,A1FB16FC
087,From Senkaiden TV Animation Senkaiden Houshin Engi,PTE-0037,S,07A3DD46
088,Langrisser Millennium WS - The Last Century,PTE-0037,S,9E0854E2
089,"Metacomitherapy Hey, listen!",PTE-0037,S,A3EAD689
090,Uzumaki curse simulation,PTE-0012A,E,CA3F0B00
092,LINE MILLENNIUM,PTE-0032B,E,301436AC
093,Macross -True Love Song-,PTE-0037,S,62D419CD
094,final lap 2000,PTE-0012A,E,CE2F1A1D
095,Burn!! Professional Baseball Rookies,PTE-0037,S,EB995E86
096,Romance of the Three Kingdoms II,PTE-0037,S,440B2630
097,digimon adventure anode tamer,PTE-0037,S,6E9DD148
098,Super Robot Wars COMPACT 2 Part 1: Upheavals on Earth,PTE-0037,S,782877BC
099,Road Runner,PTE-0012A,E,2.13E+86
100,Wuz up b? Produce Street Dancer,PTE-0037,S,1860B655
101,pocket fighter,PTE-0037,S,35361250
102,slither link,PTE-0012A,E,352A570D
103,"Time Bokan Series Bokan Legend",PTE-0037,S,7DA6ACB9
104,playing cards collection 2,PTS-0100,-,64AAF392
105,HUNTER×HUNTER The one who inherits the will,PTS-0100,E,BD6FC68A
105b,HUNTER×HUNTER The one who inherits the will,PTE-0012A,E,BD6FC68A
107,Digital Partner,PTE-0037A,S,B5E675AE
108,Glocal Hexite,PTE-0032B,-,4AED3911
109b,Wonder Gate,PTS-0118,S,80DE367D
109,Wonder Gate,PTS-0105,S,80DE367D
110,Rainbow Island Patties Party,PTE-0037A,S,8F8608AD
111,SD Gundam GGENERATION GATHER BEAT,PTE-0037A,S,E4EB3AB1
112,From TV animation ONE PIECE Aim to become the Pirate King!,PTS-0100,E,F2E362B8
113,Detective Conan: The Great Detective of the West: The Greatest Crisis!,PTE-0037A,S,E226863B
115,ring ∞,PTS-0120,E,14ADBD4B
116,HUNTER×HUNTER The one who inherits the will,PTS-0100,E,70AA800E
117,Digimon Adventure 02 Tag Tamers,PTS-0108,S,56CE1BC5
118,Robot Works VER1.0 (Cartridge included with Wonder Borg),PTS-0123,S,6ADF0E32
119,ring ∞,PTS-0100,E,14ADBD4B
119b,ring ∞,PTE-0032B,E,14ADBD4B
120,Fire Pro Wrestling,PTE-0037A,S,F246A68E
123,Chocobo at Work,PTS-0108,S,7A29E9A6
124,Super Robot Wars COMPACT 2 Part 2 Space Earthquake Edition,PTS-0108,S,ECBB46DE
125,Tokyo Majin Gakuen Encyclopedia,PTS-0111,S,91117D1B
126b,Digimon Adventure 02 Tag Tamers,PTS-0108,S,6EDEDAF8
126,Digimon Adventure 02 Tag Tamers,PTS-0116,S,6EDEDAF8
127,Robot Works VER1.5 (Cartridge included with Wonder Borg),PTS-0123A,S,BE6BE690
128,TERRORS 2,PTS-0130-2,E,9BD8F08C
128b,TERRORS 2,PTS-0100A,E,9BD8F08C
129,Final Fantasy,PTS-0108,S,B7243E88
129b,Final Fantasy,PTS-0129,S,B7243E88
130,Abacus,PTS-0108,S,0E467D97
131,GunPey EX,PTS-0100A,E,0C9CB12C
132,Rhyme Rider Kerorican,PTS-0108,S,60706555
133,Another Heaven - Memory of those Days,PTS-0100A,E,D7A0AB74
134,Anywhere Hamster 3 Outing Saffron,PTS-0111,S,93E19F13
135,Digimon Adventure 02 D-One Tamers,PTS-0108,S,4D28637E
136,Wonder Classic,PTS-0129,S,12F10B27
137,Senkaiden Ni - TV Animation Senkaiden Houshin Engi Yori,PTS-0108,S,9F35D00F
138,Super Robot Wars COMPACT 2 Part 3 Galaxy Battle Edition,PTS-0129,S,0B0F8981
139,With You - Mitsumete Itai,PTS-0130,E?,E14E9D36
140,FLASH Koibito-kun,PTS-0100A,E,69D8D433
141,Digital Monster Ver. WonderSwan (English Version),PTS-0108,S,94EA6FFC
142,Mobile Suit Gundam Vol. 1 -SIDE7-,PTS-0129,S,08C0247B
143,Digimon Adventure 02 D-One Tamers,PTS-0129,S,62F4E4B4
144,Guilty Gear Petit,PTS-0108,S,9750BC2A
145,Space Battleship Yamato,PTS-0133,S,5793BDDA
146,WILD CARD,PTS-0131,S,D9401F0A
147,Memories Off Festa,PTS-0108,S,8E123373
148,WIZARDRY Ⅰ Scenario#1 Proving Grounds of the Mad Overlord,PTS-0133,S,15E55706
149,SD Gundam Hero Legend ~Knight Legend~,PTS-0133,S,C60E5162
150,SD Gundam Hero Legend ~Musha Legend~,PTS-0133,S,18ECFFB8
151,Dark Eyes ~Battle Gate~,PTS-0133,S,12AE932C
152,mr driller,PTS-0133,S,5555D95C
153,Detective Conan Princess of Dusk,PTS-0133,S,9F6E3F8D
153b,Detective Conan Princess of Dusk,PTS-0108,S,9F6E3F8D
154,Calico Holmes Ghost Panic,PTS-0132,E,D75EFFC2
155,HUNTER×HUNTER ~Each determination~,PTS-0100A,E,D0B20C5A
156,Doraemon in your pocket,PTS-0100A,E,2B61BB2B
157,Rakujaku,PTS-0100A,E,FE4FF701
159,SD Gundam GGENERATION GATHER BEAT2,PTS-0108,S,4D21A347
160,final fantasy ii,PTS-0133,S,F09E752F
160b,final fantasy ii,PTS-0116,S,F09E752F
160c,final fantasy ii,PTS-0108,S,F09E752F
161,Kurupara!,PTS-0132,E,274719F5
162,Gensoumaden Saiyuki Retribution,PTS-0132,E,446E2581
163,Ultraman: Messenger of the Land of Light,PTS-0133,S,DE2208AB
164,Blue Wing Blitz,PTS-0133,S,99027238
165,Tofusou,PTS-0100A,E,47659B2C
166,Digimon Tamers Digimon Medley,PTS-0100A,E,FA92418D
167,Last Alive,PTS-0132,E,DA4479BF
168,Star Hearts Taikenban,PTS-0116,S,9874E9A2
170,Star Hearts,PTS-0108,S,138D1018
171,Mobile Suit Gundam Vol. 2 ~JABURO~,PTS-0108,S,39A1391A
172,HUNTER×HUNTER Guided One,PTS-0100A,E,9402BCA9
173,Digimon Tamers Digimon Medley,PTS-0132,E,84A46949
175,Digimon Anode Tamer and Cathode Tamer (Veedramon Version),PTS-0108,S,77689273
177,Guilty Gear Petit 2,PTS-0108,S,D7A12BD5
178,From TV animation ONE PIECE ~Rainbow Island Legend~,PTS-0133,S,427056C4
178b,From TV animation ONE PIECE ~Rainbow Island Legend~,PTS-0133A,S,427056C4
179b,Digimon Tamers Battle Spirit,PTS-0133,S,C927BFCB
179,Digimon Tamers Battle Spirit,PTS-0133A,S,C927BFCB
182,Marie & Ellie Two Ateliers,PTS-0108,S,B18CDC0D
183b,Inuyasha Kagome's Sengoku Diary,PTS-0111,S,0C23D551
183,Inuyasha Kagome's Sengoku Diary,PTS-0133A,S,
184,Final Lap Special,PTS-0100A,E,B07E6A56
185,Super Robot Wars COMPACT Color,PTS-0133A,S,16E0D929
185b,Super Robot Wars COMPACT Color,PTS-0116,S,16E0D929
186,XI [sai] Little,PTS-0108,S,25E2BA75
187,Romancing SaGa,PTS-0133A,S,9C98D97D
190,From TV animation ONE PIECE ~Treasure Wars~,PTS-0133A,S,205503C3
191,Digimon Tamers Brave Tamer,PTS-0132,E,F1F4D41F
193,RUN DIM Return to Earth,PTS-0133A,S,15C4552E
194,SD Gundam Operation UC,PTS-0108,S,F0ACDA5C
195,Hanjyuku Hero",PTS-0133A,S,31E09BED
196,Golden Axe,PTS-0100A,E,BC944A98
197,Kinnikuman II Dream Tag Match,PTS-0132,E,462F9275
198B,From TV animation ONE PIECE ~Treasure Wars~,PTS-0133A,S,3DF3E34C
198,Digital Monster Card Game Ver. WonderSwan Color,PTS-0100A,E,603CB5E6
198c,Digital Monster Card Game Ver. WonderSwan Color,PTS-0132,E,603CB5E6
199,Makai Tower Warrior SaGa,PTS-0133A,S,1B6F5F30
200,Final Fantasy Ⅳ,PTS-0133A,S,F699D6D1
201,Digimon Tamers Battle Spirit Ver. 1.5,PTS-0108,S,6CAAD4A2
202,Tetris,PTS-0132,E,7B0CAEA9
203,Digital Monster Card Game Ver. WonderSwan Color,PTS-0132,E,1E760C41
204,Mobile Suit Gundam Vol. 3 -A BAOA QU-,PTS-0133A,S,A9F5BF54
205,Granstar Chronicle,PTS-0133A,S,AF24F95C
206,X CARD OF FATE,PTS-0132,E,66B617D5
207,promised land riviera,PTS-0133A,S,2460B45A
208,Arc the Lad Kishin Revival,PTS-0108,S,E2317345
208b,Arc the Lad Kishin Revival,PTS-0133A,S,E2317345
209,From TV animation ONE PIECE Grand Battle Swan Colosseum,PTS-0108,S,F8A1DD2B
210,From TV animation ONE PIECE Grand Battle Swan Colosseum,PTS-0133A,S,
211,Front Mission,PTS-0133A,S,2F9E2560
212,Inuyasha ~Fuun Emaki~,PTS-0133A,S,3FF5791F
213,Digital Monster D Project,PTS-0108,S,FAAEFBCB
214,Fierce battle! Crash Gear TURBO Gear Champion League,PTS-0108,S,8A8B827C
215,Shaman King: Will for the future,PTS-0133A,S,6C029674
216,promised land riviera,PTS-0133A,S,62CB398B
217,Digital Monster D Project,PTS-0133A,S,0E40829C
218,SD Gundam G Generation Monoeye Gundams,PTS-0108,S,6ACA1F04
219,Shaman King: Will for the future,PTS-0133A,S,34908CB4
220,namco super wars,PTS-0116,S,8CE4652F
221,Inuyasha Kagome's dream diary,PTS-0132,E,44453234
222,Battle Spirit Digimon Frontier,PTS-0133A,S,A28D3DC5
224,Battle Spirit Digimon Frontier,PTS-0133A,S,8BA49DAB
225,From TV animation ONE PIECE Treasure Wars 2 Welcome to Buggyland,WSS-0003,S,0D1048F0
226,SD Gundam G Generation Monoeye Gundams,PTS-0133A,S,A3ECC9AC
227,Kinnikuman II Superhuman Crusade History,PTS-0132,E,6142FD9D
228,Rockman EXE WS,PTS-0133A,S,658C4B98
229b,Mobile Suit Gundam SEED,WSS-0003,S,BCE15137
229c,Mobile Suit Gundam SEED,PTS-0116,S,BCE15137
229,Mobile Suit Gundam SEED,WSS-0004,S,BCE15137
230,NARUTO Konoha Ninja Scroll,PTS-0133A,S,71556E6A
230b,NARUTO Konoha Ninja Scroll,PTS-0133A,S,71556E6A
231,HUNTER×HUNTER G・I,PTS-0133A,S,A487B7A8
232,Mobile Suit Gundam Gihren's Ambition Special Edition Champion of the Blue Star,PTS-0133A,S,D4061551
233,HUNTER×HUNTER G・I,PTS-0116,S,130AF567
234,Super Robot Wars COMPACT 3,PTS-0133A,S,6918C824
235,Rockman EXE N1 Battle,PTS-0133A,S,1F10CA75
236,Saint Seiya Golden Legend Perfect Edition,PTS-0116,-,6E8A792D
237,Super Robot Wars COMPACT 3,PTS-0133A,S,188CA644
238,From TV animation ONE PIECE Chopper's Adventure,PTS-0133A,S,8E120B5A
239,Dragon Ball,PTS-0116,-,067238D1
SP0,WonderSwan Handy Sonar,-,-,2AB9852D
SP0B,WonderSwan Handy Sonar,-,-,D4188811
SP1,WonderWitch exclusive cartridge,PTS-0101,S,-
SP2,Judgment Silver Sword -Rebirth Edition- (Rebirth Edition) (HFP),-,S,85C4C9A1
SP3,DicingKnight.,PTS-0101,S,1887389C
SP4,Digimon Adventure Campaign Limited Version,PTE-0022A,S,7E03E8DA
SP5,Mama Mitte,WSS-0001-T,S,CC5ABF8D
SP7,Digimon Tamers Battle Spirit Tournament Prize Edition,PTS-0133A,S,C927BFCB
SP6,SD Gundam Operation UC Special Package,PTS-0108,S,F0ACDA5C
